nsets: 8192 
*****************0*****************
 ,Set0,Set1,Set2,Set3,Set4,Set5,Set6,Set7,Set8,Set9,Set10,Set11,Set12,Set13,Set14,Set15,Set16,Set17,Set18,Set19,Set20,Set21,Set22,Set23,Set24,Set25,Set26,Set27,Set28,Set29,Set30,Set31,Set32,Set33,Set34,Set35,Set36,Set37,Set38,Set39,Set40,Set41,Set42,Set43,Set44,Set45,Set46,Set47,Set48,Set49,Set50,Set51,Set52,Set53,Set54,Set55,Set56,Set57,Set58,Set59,Set60,Set61,Set62,Set63,Set64,Set65,Set66,Set67,Set68,Set69,Set70,Set71,Set72,Set73,Set74,Set75,Set76,Set77,Set78,Set79,Set80,Set81,Set82,Set83,Set84,Set85,Set86,Set87,Set88,Set89,Set90,Set91,Set92,Set93,Set94,Set95,Set96,Set97,Set98,Set99,Set100,Set101,Set102,Set103,Set104,Set105,Set106,Set107,Set108,Set109,Set110,Set111,Set112,Set113,Set114,Set115,Set116,Set117,Set118,Set119,Set120,Set121,Set122,Set123,Set124,Set125,Set126,Set128, Total
Round 10,0,0,3,0,0,5,10,0,0,1,0,0,8,0,0,0,0,0,7,0,2,2,0,0,5,0,5,5,0,3,0,4,0,2,0,4,6,1,7,0,0,8,4,1,4,0,0,0,0,4,7,3,2,0,1,3,0,0,0,2,1,0,0,0,5,6,3,0,0,0,0,4,6,0,0,3,0,0,0,0,7,1,0,0,0,0,3,0,0,8,2,7,0,0,0,0,8,0,5,5,0,3,0,3,0,7,3,0,5,7,0,9,0,0,0,4,0,0,7,2,0,6,0,2,0,0,0,0,251
Round 11,0,0,2,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,3,0,5,1,0,0,4,0,0,0,0,4,0,3,0,2,0,2,7,1,1,0,0,6,5,0,4,0,0,4,0,3,3,4,3,0,0,4,6,0,0,1,0,0,0,0,5,8,5,0,0,2,0,4,3,0,3,4,0,0,0,0,1,0,0,0,0,2,2,0,0,6,3,2,0,0,0,0,4,0,3,5,0,5,0,0,0,8,1,0,5,4,0,2,0,0,0,2,0,0,3,9,0,8,0,4,0,0,0,0,203
Round 12,0,0,3,0,0,5,3,0,0,5,4,0,3,0,0,0,0,2,1,0,2,0,0,0,5,0,0,1,0,3,0,4,0,2,0,0,6,7,1,0,0,7,5,0,3,0,0,6,0,3,1,1,2,0,0,3,2,0,0,9,0,0,4,0,6,0,3,0,9,0,0,4,8,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,5,0,0,5,0,3,0,0,0,5,1,0,5,3,0,8,0,0,0,0,0,0,5,1,0,3,0,4,0,0,0,0,193
Round 13,0,0,3,0,0,3,0,0,0,2,2,0,2,0,0,0,0,2,0,0,3,2,0,0,4,0,0,0,0,4,0,0,0,0,0,3,8,1,0,0,0,2,1,0,3,0,0,1,0,2,0,0,0,0,0,3,7,0,0,1,0,0,3,0,1,0,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88
Round 14,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Round 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Round 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Round 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Round 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Round 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
